,Date,timestamp,Close,target,Unnamed: 0,date,close,target,VEC.timestamp,VEC.COINJOURNA.text_COUNT_last1days:bitcoin,VEC.COINJOURNA.text_last1days:bitcoin
0,1-1-2020 23:58:0,1577923080.0,0.03332608927,0,0.0,01-01-2020 17:00:00,7200.85,1.0,1577898000.0,0.0,[]
1,2-1-2020 23:58:0,1578009480.0,0.03262215606,0,1.0,02-01-2020 17:00:00,6965.71,0.0,1577984400.0,0.0,[]
2,3-1-2020 23:58:0,1578095880.0,0.03409326592,1,2.0,03-01-2020 17:00:00,7344.96,1.0,1578070800.0,0.0,[]
3,4-1-2020 23:58:0,1578182280.0,0.03435701734,1,3.0,04-01-2020 17:00:00,7354.11,1.0,1578157200.0,0.0,[]
4,5-1-2020 23:58:0,1578268680.0,0.03448738972,1,4.0,05-01-2020 17:00:00,7358.75,1.0,1578243600.0,0.0,[]
5,6-1-2020 23:58:0,1578355080.0,0.0371736572,1,5.0,06-01-2020 17:00:00,7758.0,1.0,1578330000.0,0.0,[]
6,7-1-2020 23:58:0,1578441480.0,0.03696021111,0,6.0,07-01-2020 17:00:00,8145.28,1.0,1578416400.0,0.0,[]
7,8-1-2020 23:58:0,1578527880.0,0.036195471,0,7.0,08-01-2020 17:00:00,8055.98,0.0,1578502800.0,0.0,[]
8,9-1-2020 23:58:0,1578614280.0,0.03603800364,0,8.0,09-01-2020 17:00:00,7817.76,0.0,1578589200.0,0.0,[]
9,10-1-2020 23:58:0,1578700680.0,0.0368514765,1,9.0,10-01-2020 17:00:00,8197.02,1.0,1578675600.0,0.0,[]
10,11-1-2020 23:58:0,1578787080.0,0.03671203461,0,10.0,11-01-2020 17:00:00,8020.01,0.0,1578762000.0,0.0,[]
11,12-1-2020 23:58:0,1578873480.0,0.03774110811,1,11.0,12-01-2020 17:00:00,8184.98,1.0,1578848400.0,0.0,[]
12,13-1-2020 23:58:0,1578959880.0,0.03677546108,0,12.0,13-01-2020 17:00:00,8110.34,0.0,1578934800.0,1.0,['the latest bitcoin & cryptocurrency news from coinjournal - ']
13,14-1-2020 23:58:0,1579046280.0,0.04156107946,1,13.0,14-01-2020 17:00:00,8810.01,1.0,1579021200.0,0.0,[]
14,15-1-2020 23:58:0,1579132680.0,0.04254995262,1,14.0,15-01-2020 17:00:00,8821.41,1.0,1579107600.0,0.0,[]
15,16-1-2020 23:58:0,1579219080.0,0.04146620767,0,15.0,16-01-2020 17:00:00,8720.01,0.0,1579194000.0,0.0,[]
16,17-1-2020 23:58:0,1579305480.0,0.04475039621,1,16.0,17-01-2020 17:00:00,8913.28,1.0,1579280400.0,0.0,[]
